isbn,title,author,publisher,year,stock
290669609-9,"Willow Tree, The (Beed-e majnoon)",Husain Rustadge,Paucek and Sons,1965,12
908080165-8,"Elvira, Mistress of the Dark",Michaela Inggall,Hermann Inc,1993,73
909634843-5,Average Italian,Nester Birbeck,Maggio and Sons,2003,17
374911886-8,"Beast from 20,000 Fathoms, The",Duky Lepere,"Cronin, Mayert and Brekke",2012,39
516818507-X,Blackthorn,Shaylyn Ghidoli,Donnelly and Sons,2009,29
959093028-X,Dillinger Is Dead (Dillinger è morto),Gretchen Alfonsetto,McLaughlin and Sons,2006,18
884740803-2,"Darkman II: Return of Durant, The",Estrella Heeps,"Wiegand, Nicolas and Torphy",2008,67
345101873-X,Pitkä kuuma kesä,Brod Nayer,"Dibbert, MacGyver and Reichert",2008,6
110341854-8,Lucie Aubrac,Salome Stanway,Rempel-Oberbrunner,1998,18
808724558-X,"Armwrestler From Solitude, The (Armbryterskan från Ensamheten)",Reta Allot,"Kuvalis, Jenkins and Greenfelder",1999,96
587524073-3,Easy,Wilone Brugmann,Bogisich-Kuhlman,2007,25
134376491-2,Crime Wave,Cornela Espin,"Hoppe, Schultz and D'Amore",2004,80
852685206-X,"Last Elvis, The (Último Elvis, El)",Jason Houldcroft,O'Keefe-Conroy,2010,29
776627758-1,Susan Lenox (Her Fall and Rise),Frasier Van der Kruis,Wiza-Wehner,1998,29
552903914-6,Mildred Pierce,Courtenay Jordin,"Wolff, Collins and Jakubowski",1995,50
252615024-8,Borrowed Time,Tobi Garwill,Kirlin-Farrell,1994,40
977899711-X,Godzilla,Harper Demkowicz,Heaney-Prohaska,2009,46
454013622-4,"Program, The",Amandy Gorusso,"Trantow, Abshire and Zemlak",1964,48
189870565-8,"Saban, Son of Saban",Sorcha Gaither,Cormier-Johns,2009,37
120781529-2,Cargo,Hamnet McWhan,Krajcik LLC,2007,58
589385083-1,American Ninja 4: The Annihilation,Goddart Cuerdale,Olson Group,2005,80
073562232-9,Summer Lovers,Hinda Gelardi,Boyle-Schaefer,1997,15
432004089-9,The Vanishing American,Torrin Foxton,Larkin and Sons,2006,29
474851021-8,Tidal Wave,Clarance Brogini,Pfannerstill Inc,2002,13
664730928-4,Beyond the Forest,Grissel Milmo,"Berge, Swaniawski and Koepp",1999,16
041054174-5,Attack of the 50ft Cheerleader,Cari Brakespear,Howell LLC,2005,99
073254496-3,Paan Singh Tomar,Abner Jopp,"Kreiger, Sanford and Hauck",1991,92
197183113-1,Warrior of the Lost World,Koressa McRamsey,Cassin and Sons,1991,66
994006740-2,Assault on Precinct 13,Catarina Gullyes,Morar-Wisozk,2000,41
410840716-4,"Big Bang Theory, The (2007-)",Lanny Lawling,Hayes and Sons,1994,32
976150548-0,Sgt. Pepper's Lonely Hearts Club Band,Emmery Fessler,McCullough Group,2010,8
356113026-7,Bedazzled,Daveen Kilcullen,Moen-Doyle,2004,23
344339835-9,Five and Ten,Adelaide Blitzer,Kassulke Group,2008,87
768728460-7,"Quatermass Xperiment, The",Karola Caldaro,Rau Inc,2011,52
093478281-4,30 Beats,Lorrayne Rushworth,Little and Sons,2006,49
878660290-X,Coup de torchon (Clean Slate),Blanche Wellen,"Schuppe, Orn and Smith",2012,78
113645703-8,"New Kind of Love, A",Isabel Suscens,"Cremin, Bauch and Prohaska",2008,66
885906124-5,Hangtime - Kein leichtes Spiel,Pincas Boord,Boyle-Kihn,2003,82
669611939-6,Moordwijven,Sinclair Schusterl,"Reichert, Rohan and Cummerata",1999,87
117829532-X,"Cost of Living, The (Le coût de la vie)",Dorian Mattea,"Kunze, Pagac and Pouros",1999,6
074109516-5,Till Human Voices Wake Us,Kalle Rappaport,Armstrong-Kuvalis,2005,22
557444441-0,Much Ado About Nothing,Lazarus Mallabone,Boyle-Morar,1987,86
598360539-9,Strawberries in the Supermarket (Jagoda u supermarketu) ,Felecia Semmens,Lemke and Sons,1996,8
054114077-9,8th Wonderland,Garner Kippins,"Miller, Kerluke and Leffler",1985,96
031125496-9,Dr. Akagi (Kanzo sensei),Teodoor Terry,Rowe Inc,1985,1
348377394-0,Dead in Tombstone,Efren Vossgen,Kiehn-Lueilwitz,2008,21
122241357-4,Slam Dance,Barbara Gaukroger,Anderson-Wunsch,2007,3
303144609-7,Zatoichi's Vengeance (Zatôichi no uta ga kikoeru) (Zatôichi 13),Walliw Matteoli,Schinner-Crooks,2000,54
914175207-4,Buffalo '66 (a.k.a. Buffalo 66),Agosto Lally,"Borer, Bradtke and Stamm",1998,49
467335508-3,After Alice (Eye of the Killer),Tris Graine,"Lockman, Koch and Skiles",2007,46
214919253-5,Kauwboy,Alanna Jedrachowicz,Cremin and Sons,2012,63
346451950-3,Hellzapoppin',Christabella Voden,Padberg-Fay,2005,53
904388393-X,"Goat, The",Isaac Mingay,Considine Inc,1996,98
506847111-9,"Italian Job, The",Julie Michele,Hermann LLC,1995,21
612547708-8,"General Died at Dawn, The",Dominica Reilly,"Bayer, Franecki and Tromp",2011,30
446198560-1,Vertigo,Chad Henighan,"Reilly, Parker and Bartoletti",1969,69
571834441-8,Anotherworld,Mirabella McQuirk,"Christiansen, Walter and Schaefer",2001,23
395995895-1,Chained for Life,Silvio Casham,Quigley and Sons,2011,81
920239145-9,City Slickers,Joachim Privett,Bauch-Maggio,1993,13
462592383-2,Mimino,Gabrielle Lattos,"Jaskolski, Cole and Langworth",1992,41
518368751-X,Intouchables,Zorine Chater,Ruecker Inc,2009,18
059544389-3,Score: A Hockey Musical,Ellwood Beckwith,Ward-Gutmann,2006,70
750683393-X,Alive Inside,Geraldine Sherewood,"Leffler, Lindgren and Jacobs",1988,76
288840076-6,Eminem AKA ,Dorthy Cluely,Abbott and Sons,2009,36
931803991-3,Plankton,Free Shrimpling,"Denesik, Walsh and Volkman",1991,90
858863446-5,Arn: The Knight Templar (Arn - Tempelriddaren),Gibby Iacobacci,"Stokes, Kling and DuBuque",1997,22
392279917-5,Faithless (Trolösa),Marlin Loseke,Pfeffer LLC,2004,68
754724986-8,Three Brave Men,Antonina Wiburn,"Stiedemann, Spinka and Bergnaum",1990,80
867167262-X,Frozen,Lionello Sennett,"Reynolds, Larson and Marks",2009,78
992481445-2,Alexandra (Aleksandra),Claretta Vaney,Considine Group,1999,78
647509285-1,"Dead, The",Giffie Cossans,Kohler Inc,2003,80
238622913-0,"Unknown Soldier, The (Unbekannte Soldat, Der)",Nate Beels,"Mante, Mayert and Becker",1992,79
015269294-0,Mary Poppins,Dmitri Smurfit,Kihn-Monahan,2004,7
932981799-8,Evita,Thaddus Sehorsch,"Zulauf, Kessler and Swaniawski",1990,80
033118475-3,Why Do Fools Fall In Love?,Hyacinthie Heindle,Gutmann and Sons,2004,31
462890943-1,Afghan Star,Alexandros Spread,Schneider LLC,2013,15
636341664-7,Lethal Weapon 2,Danny Jarred,"Huel, Cassin and Berge",1992,16
577722233-1,Bill & Ted's Excellent Adventure,Ivory Scoffham,Kozey-Vandervort,2001,57
720963304-9,"Mating Game, The",Rowan Vallery,Monahan-Hamill,2003,45
597900136-0,Meltdown (Shu dan long wei),Bryanty Tallis,Hintz-Barrows,1996,6
739035360-0,Zero Tolerance (Noll tolerans),Elly Lambard,Lesch Inc,2008,38
852833403-1,Twixt,Delly Di Maggio,Bins-Hirthe,2004,40
215475715-4,Putzel,Hermann Audiss,"Hudson, Thompson and Simonis",2000,69
311228323-6,"Last King of Scotland, The",Malchy Aloigi,"Bogan, Skiles and Bogisich",2009,16
644893353-0,Johnny Eager,Tabby Childe,"Walter, O'Kon and Bechtelar",2003,11
644205843-3,Mar Baum,Wren Shinfield,"Leuschke, Larson and VonRueden",2003,84
546599936-5,Out of Sight,Werner Yakovlev,Pagac-Murray,1992,86
749579213-2,Just a Sigh,Jacklyn Jessup,Ondricka and Sons,2006,61
001846591-9,As Cool As I Am,Ogdan Muge,"Greenfelder, Little and Will",2011,29
524364163-4,Thelma & Louise,Agustin Bourbon,"Schowalter, Bins and MacGyver",1986,72
956831671-X,The Land Before Time IX: Journey to the Big Water,Rhody Ivanitsa,Fritsch-Glover,2000,81
167249057-X,"Violin, El",Goddard Schild,Conn-Legros,1998,13
022365509-0,Brigham Young,Deidre Willavize,Hand-Langosh,2010,22
299546086-X,"Man Who Came to Dinner, The",Geraldine Snar,Hilll LLC,2002,63
703016115-7,Cinderella Man,Ive Sinnock,Leannon and Sons,2006,19
222982203-9,Dear Wendy,Sonny Kasher,Schulist Group,1995,46
884949158-1,1,Sharona Langcaster,Stark-Hahn,1994,81
092814017-2,Jungle Book,Jermayne Biesterfeld,"Hane, Jacobi and Hahn",2007,44
383714007-5,Pépé le Moko,Charis Rengger,Zboncak-McKenzie,2008,81
311051699-3,Heckler,Lucine Steffens,Wolf-Reichert,2007,43
194967613-7,Commandos Strike at Dawn,Killian Dwyer,"Quitzon, Windler and Sawayn",2008,19
893561167-0,Portrait of Wally,Ermina Lyne,Kutch-Leffler,1990,75
311114854-8,Home from the Hill,Zedekiah Kell,Hauck LLC,2012,97
865687431-4,Gulliver's Travels,Nedda Amies,"Parker, Kuhic and Sawayn",2004,60
145235032-9,Married Life,Colver Sich,"Herzog, Thompson and Terry",2005,93
658344178-0,Motocrossed,Petronia MacSporran,"Mraz, Gorczany and Pouros",2004,77
498010447-9,Golem,Dennie Giacobelli,Marquardt Group,1985,95
279368765-0,Big Trouble in Little China,Beverie De Lacey,Kunze-Huel,1992,58
485478492-X,Hotel,Kirsti Penniall,Dietrich-Gutkowski,2000,25
286577067-2,Answers to Nothing,Etienne Ridding,Cole LLC,1997,80
250181548-3,Find Me Guilty,Bar Laimable,Schmidt LLC,2006,80
300071002-7,Cyberjack (Virtual Assassin),Care Krinks,Herman-Ullrich,2004,78
531963109-X,Killer Force,Vick Theuss,Koch Group,2011,95
412404602-2,Ghost Son,Monroe Dealey,"Spinka, Smith and Hoppe",2002,44
306408746-0,Fermat's Room (La habitación de Fermat),Katlin Luety,Harber LLC,2011,51
037867176-6,A Fugitive from the Past,Ambrosius Lander,"Parisian, Ferry and Weissnat",2008,25
912273741-3,Shirin in Love,Debora Worboys,"Gislason, White and Legros",1993,79
827060501-8,Never Die Alone,Felipe Ivanyukov,"Satterfield, Rempel and Reilly",2006,41
967525427-0,"Prodigal Son, The (Bai ga jai)",Fonz Pendlenton,"Schmitt, Conn and Prosacco",2001,100
671991365-4,Loaded,Trace Ashton,"Schaefer, Rowe and Bauch",2005,76
555064321-9,Wrong Turn 3: Left for Dead,Jake Mulqueen,Swift Inc,1999,97
426812088-2,Killer Elite,Beck Bracci,Balistreri Inc,2006,23
994811639-9,To the Devil a Daughter,Noel Carding,Boyle Inc,1993,77
413200194-6,Rasputin,Holmes Cherry,Spinka Group,2002,81
649709911-5,Riding the Bullet,Pablo Joblin,"Heathcote, Feeney and Friesen",2005,48
465719801-7,On the Rumba River (On the Rhumba River),Pietrek Willmont,Jerde LLC,2010,11
154993615-8,October,Klemens Norvell,Dibbert-Jacobs,2006,53
588123149-X,"American Tail, An",Valentine Ilyuchyov,"Lehner, Cremin and Rau",2008,51
315009522-0,"Double Hour, The (La doppia ora)",Benedikt Attow,Upton-Crooks,2008,86
387110518-X,Little Big Soldier (Da bing xiao jiang),Peter Nickoll,"Prohaska, Grant and Weimann",1961,13
414315403-X,Julia,Coralie Cawcutt,Bruen-Will,2011,20
363529451-9,Ghost,Frances Cavozzi,Gulgowski-Kohler,2007,42
919726207-2,Just Write,Lucky Winckle,Little-Fadel,2001,91
220987072-0,America Before Columbus,Melony Rosingdall,Padberg Inc,2007,20
051684321-4,Just a Little Harmless Sex,Olva Ellis,Becker-Howell,1999,54
718437399-5,Tracker,Vidovik St. Quintin,"Stroman, Little and Legros",2010,66
403737659-8,"Legend of Rita, The (Stille nach dem Schuß, Die)",Del Skill,"Aufderhar, Cummerata and Hamill",1995,50
087359252-2,"Pirates of Penzance, The",Gui Tomankiewicz,Koepp-Smitham,2005,97
301399584-X,13B,Sherlock McKerlie,Rippin-Bednar,2003,22
879345169-5,Irreconcilable Differences,Pierette Canniffe,Bogisich LLC,1996,15
741177005-1,"Bitch, The (La chienne)",Polly Ussher,DuBuque-Lueilwitz,1994,92
513982285-7,Mad Monster Party?,Beverie Tumasian,Kuhlman LLC,2009,2
971558937-5,The Robot vs. the Aztec Mummy,Issie Knewstub,"Luettgen, Wiegand and Cummerata",1992,38
993128166-9,Dreamland,Debby Neames,Murray Inc,1999,29
534212273-2,Mystery Road,Joey Corkhill,"Lueilwitz, Kozey and Klocko",1995,18
742230545-2,"Fugitive, The",Taddeo Kolakovic,"Nicolas, Hudson and Breitenberg",2003,3
400262002-6,"Story of Seabiscuit, The",Bran Walsom,Heathcote-Brekke,2006,16
307675644-3,Battleship Potemkin,Rozalin Sheivels,Bailey-Murray,2006,38
578152755-9,Following Sean,Sansone Maylott,Hickle-Stoltenberg,2003,76
043038880-2,Hedgehog in the Fog,Agneta Shearwood,Lesch Inc,2008,39
791782004-1,"Man Who Knew Too Much, The",Pascale Derington,"Wyman, O'Keefe and Welch",2008,4
085781773-6,"Last Exorcism Part II, The",Bear Beamish,"Stokes, Larson and Robel",2009,44
436338804-8,Maze,Gert Stife,Green-West,1968,1
960792758-3,Bulworth,Rey Paulin,Connelly Inc,2011,12
305855402-8,Zatoichi and the Chess Expert (Zatôichi Jigoku tabi) (Zatôichi 12),Madlin Rees,Farrell-Rath,2008,85
798579483-2,House of Frankenstein,Wynnie Virr,"Lebsack, Fahey and Rippin",2006,68
831177590-7,The Hound of the Baskervilles,Min Kamienski,Bashirian and Sons,2007,96
071596887-4,Pokémon the Movie: Black - Victini and Reshiram,Katusha Skermer,"Gutkowski, Blick and Emard",1993,12
321645291-3,Oscar and Lucinda (a.k.a. Oscar & Lucinda),Robin Sadd,Grant-Abshire,2008,9
829381148-X,"Kiss, The",Phaidra Wonfar,"Lakin, Kozey and Feeney",1996,92
451077223-8,That Kiljunen Family (Kiljusen herrasväki),Karlyn Paddemore,Hayes-Barton,2008,76
081205039-8,Jeanne and the Perfect Guy (Jeanne et le garçon formidable),Madelaine Lorkins,"Dare, Donnelly and Homenick",2005,22
304708003-8,Mimino,Bernadette Skinn,Hintz-Boehm,1997,14
811386923-9,Dr. Crippen,Kath Moylan,Legros and Sons,1995,75
368136930-5,"Atomic Submarine, The",Henryetta Grabert,"Davis, O'Conner and Ullrich",1999,26
031344151-0,"Idiot, The (Hakuchi)",Darb Gronav,"Mann, Beier and Heaney",2001,84
575215662-9,Incubus,Issy Beeden,Brown Group,1990,66
138670852-6,Balls Out: Gary the Tennis Coach,Tonye Vearncomb,Hettinger Group,2005,98
061852520-3,Stella,Libbey Hebborne,"Kuhlman, Halvorson and Turner",2003,42
707977114-5,"Men Who Tread on the Tiger's Tail, The (Tora no o wo fumu otokotachi)",Keary Powter,"Harris, DuBuque and Yundt",2011,92
249384846-2,Private Lessons,Jeane Ingliby,Koepp-Ankunding,2012,21
300343236-2,Christopher Strong,Bearnard McLeish,Franecki and Sons,1996,30
866710556-2,Exit to Hell,Alfons Matteucci,Rogahn Group,1993,60
929603872-3,Different from the Others (Anders als die Andern),Vivianna Vallerine,Moen-Murazik,1994,91
655515983-9,Control (Kontroll),Ulla Kinneir,Abbott-Abernathy,2012,99
631430925-5,Nothing to Lose,Nicolai Powe,Stark Group,2004,70
776684000-6,Strapped,Nicolette Darrach,Shields Inc,2003,12
962096255-9,My Darling Clementine,Marika Campanelle,Balistreri-Conroy,2003,20
450908350-5,In the Name of the King: A Dungeon Siege Tale,Mora Harland,Upton-Mayert,1989,67
667167592-9,Giants and Toys (Kyojin to gangu),Demetri Culwen,Muller-Ratke,2010,56
818584443-7,Black Fury,Cody Haversham,Gottlieb and Sons,2004,89
343479228-7,Marvin's Room,Kimball Campelli,Rohan LLC,2001,81
652057564-X,Death Warrant,Nicol Plues,Farrell-Breitenberg,1996,34
377510453-4,"Trail Beyond, The",Ivan Delahunty,Nicolas-Denesik,1992,61
035272783-7,Amazing Journey: The Story of The Who,Chiarra Bew,"Ledner, Kreiger and Reynolds",2009,51
062730459-1,Young Einstein,Jobina Thewles,Ortiz-Swift,1995,23
238046114-7,"Bachelor and the Bobby-Soxer, The",Anette Swanwick,Schaden-Blanda,2012,25
334941670-5,Why We Fight,Armand Peggs,Smith-Wiza,2007,44
448282706-1,Fiddle-de-dee,Nicolette Abrahm,Kozey-Lang,2007,8
487464939-4,Death In Love,Alleen Coil,"Altenwerth, Parker and Tromp",1999,34
159605645-2,Ballad of the Little Soldier (Ballade vom kleinen Soldaten),Georgette Cordeux,"Fadel, Brakus and Bernier",1996,16
900692590-X,My Dog Tulip,Filbert Richie,"Legros, Keebler and Harvey",1981,82
910586166-7,Holy Rollers,Avis Hacquoil,"Frami, Daniel and Sipes",2009,58
028839312-0,God Bless America,Jarad Gilchrist,Zulauf-Reynolds,2005,2
602813058-3,Executive Target,Samuele Heninghem,"Stamm, Raynor and Stracke",1994,29
220037090-3,Open Grave,Garner Creighton,O'Keefe LLC,1997,6
362101401-2,Keith Lemon: The Film,Salim Vella,"Hickle, Luettgen and Champlin",1995,12
047558508-9,"Cassandra Crossing, The",Perri Raistrick,Lind and Sons,2002,3
983102642-X,Summer with Monika (Sommaren med Monika),Loleta Rittelmeyer,"Wolf, Beer and Emard",2008,2
882917234-0,Jesse Stone: Innocents Lost,Liane Purkins,"Ziemann, Predovic and Hartmann",1996,51
607454134-5,A.C.O.D.,Corbet Binley,O'Hara-Ebert,2004,56
528986275-7,Butcher Boys (Bone Boys),Ruthanne Camies,"Von, Grimes and Stroman",1995,46
644130707-3,Grease 2,Abner Hadwin,Bednar LLC,1998,66
509174170-4,Bringing Down the House,Lanni Murison,"Leannon, Labadie and Treutel",2005,86
602845030-8,Taxi 4,Opalina Rodolphe,Reilly-Beer,1996,99
341899764-3,May I Kill U?,Cy Minshall,"Raynor, Dietrich and Wisozk",2007,21
542354806-3,"Earth Dies Screaming, The",Nichole Baughen,D'Amore Inc,1986,12
606485872-9,Rockaway,Roze Fitkin,Marvin-Spencer,2002,67
566081072-1,"Son of Kong, The",Gary Rasp,"Ratke, Wiegand and Schneider",2013,41
871019110-0,Charles Bradley: Soul of America,Rayna Gitting,"Murphy, Shields and Barton",2011,36
452464121-1,Drive Hard,Sheffield Rodell,"Bins, Wisozk and Olson",1999,13
827331959-8,At Close Range,Leda Marcus,Schiller LLC,2011,62
903777763-5,Man at Bath (Homme au bain),Chiarra Halsworth,Lang-Kuhn,2005,86
814377148-2,Ranma ½: Nihao My Concubine (Ranma ½: Kessen Tôgenkyô! Hanayome o torimodose!!),Adelaide Ickov,Pollich and Sons,2009,81
263289751-3,"Thief Who Came to Dinner, The",Sherline Cramp,Harber Group,2000,60
057236656-6,"Dust Factory, The",Renado Pattenden,Johns Group,1993,58
502235128-5,Running Scared,Storm Beales,Rice and Sons,2009,74
379116579-8,Starship Invasions,Johna Burress,"Goodwin, Cole and Ward",1999,83
942045311-1,Symphony of the Soil,Ramon Woodruffe,Cummings and Sons,1996,67
405724170-1,Frankenstein Unbound,Tana Walburn,Murphy-Kling,1999,20
592728753-0,"Idiot, The (Hakuchi)",Augustin Round,Johnston-Wuckert,2007,30
536685692-2,Three Days (Tres días),Mariam Sacker,"Witting, McCullough and Bogisich",2011,26
305210203-6,Stonehearst Asylum,Marshal Stickler,Rosenbaum LLC,1990,2
941100465-2,Ocho apellidos vascos,Gladys Gandey,"Hintz, Cole and Schimmel",1993,97
000976844-0,"Weather Man, The",Meryl Dowglass,Gottlieb LLC,2007,61
267511657-2,"Illusionist, The",Thorn Pedrielli,Rice Group,2009,19
185658892-0,"Sandpiper, The",Serge Abramamov,"Reichert, Hills and Walter",2006,24
828680543-7,King Boxer: Five Fingers of Death (Tian xia di yi quan),Sile Hefferon,MacGyver-Quigley,1997,51
510319164-4,Stray Dogs (Sag-haye velgard),Isabelita Peel,Donnelly Inc,2012,84
318280159-7,Crazy Love,Griz Pollock,"Ryan, Dicki and Thompson",2007,15
751511789-3,Something Wild,Jocelyne Dymocke,Schowalter-Simonis,2011,97
307548559-4,Mahakaal (The Monster),Tom Roger,"Labadie, Hilpert and Dicki",2003,33
480943140-1,Jim Jefferies: I Swear to God,Yard Slater,Howe-Wiza,1998,53
434048577-2,"After Fall, Winter",Clemente Riolfi,Borer Group,2010,20
542488228-5,Paragraph 175,Marshal Solomonides,"Rodriguez, Hagenes and Trantow",2010,17
985840380-1,Fiston,Weylin Huck,Kulas-Blick,2006,87
046136400-X,Me tulemme taas,Frasier Kubasiewicz,Lemke-Spencer,2012,59
812142320-1,Mr. Freedom,Cecilia Haythornthwaite,Hagenes Inc,1992,89
855716324-X,Nightmares in Red White & Blue: The Evolution of the American Horror Film,Alain Rolfini,Hettinger-Erdman,2012,69
202937822-4,It's Alive,Thatch Courtliff,"Gulgowski, Murphy and Cummings",2004,74
724089050-3,Serpico,Ezekiel Howes,D'Amore-Fritsch,1988,30
151819404-4,"Gambler, The",Cynthie Everton,Kovacek-Miller,2008,70
256826618-X,13,Haywood Oakden,"Green, Hickle and Wilderman",2011,100
114672008-4,Days of Thunder,Morse Ozanne,"Abernathy, Bahringer and D'Amore",2008,15
772730092-6,I Am Divine,Norton Oake,Mayer-Murray,2005,2
260995208-2,Time Freak,Ashil Simonite,Wisozk-Ebert,2008,54
823968394-0,"Amityville Horror, The",Aylmar Powlett,Weber-Kutch,1964,39
352163890-1,Beethoven's Treasure Tail,Edith Dedham,"Fadel, Runte and Kling",2003,28
840487966-4,Wu yen,Merrick Hanretty,Russel-Rau,1992,24
625515354-1,"Minus Man, The",Waylon Skipworth,Swaniawski Group,1967,75
886204702-9,Blind Date,Monroe Poles,Lemke-Blick,2008,27
737391551-5,Ruby Cairo,Isidora Whylie,Gerhold-Huels,1985,9
256335204-5,Overlord,Mariette Warry,Dicki-Ratke,2006,65
397293720-2,Manta - Der Film,Nikolas Conneely,Armstrong and Sons,2004,42
015764744-7,Being Julia,Kaia Prew,Brekke-Lindgren,1960,35
866134191-4,Electric Shadows (Meng ying tong nian),Elena McIvor,Quitzon-Howell,2009,49
502530142-4,"Waterdance, The",Ros Sedge,"Rogahn, Farrell and Ferry",2012,34
792413101-9,Saturday the 14th,Auberta Joppich,"Prohaska, Conroy and Prosacco",2006,34
492731526-6,Men in the City (Männerherzen),Jaclin Breawood,Mayert and Sons,2003,33
056513475-2,Dave Chappelle: For What it's Worth,Madelene Treffrey,"Stiedemann, Hickle and Stehr",1998,63
999707544-7,"Waiting Room, The",Peterus Greally,"Heaney, Mohr and Steuber",1995,40
459515457-7,X,Lesley Klimshuk,Schultz Inc,2006,35
052602731-2,God Grew Tired of Us,Vincenty De Luna,O'Connell-Wiza,1998,86
474837095-5,Brazil,Giuditta Stancer,"Schinner, Braun and Dietrich",2003,97
465952079-X,"Other Man, The",Abbie Dimitriev,Pacocha LLC,2011,24
129505952-5,Yatterman (Yattâman),Emmett Ricold,"Thiel, Pacocha and Funk",1998,5
256618476-3,"Good Morning, Miss Dove",Weber Rayburn,"Emard, Ziemann and Thompson",2008,13
905768860-3,42 Up,Dori Jeandillou,"Mayert, Ward and Wolff",2002,17
718148234-3,Ghoulies II,Tomkin Fallow,Kerluke-Kautzer,2008,41
934492846-0,Meteor,Wilfred Glenwright,West-Abbott,2003,46
844000511-3,"End of Summer, The (Early Autumn) (Kohayagawa-ke no aki)",Viola Legrave,Christiansen Inc,2008,82
543975542-X,Sons of Katie Elder,Moina Hambrick,"Murray, Hansen and Gorczany",2010,1
663707247-8,2:22,Arvin Seamans,Herzog Group,2009,54
596016871-5,Counsellor at Law,Ludovika Wigfield,"Effertz, Murazik and Lakin",1990,85
911213667-0,Nevada Smith,Donnie Quibell,"Cassin, Kuphal and Maggio",2007,23
142733520-6,Sergeant Körmy and the South Pacific (Vääpeli Körmy ja etelän hetelmät),Eyde Braunfeld,"Abernathy, Connelly and Shanahan",2005,31
767331823-7,Out of the Blue,Josepha Nabarro,Gerlach Inc,1999,36
571958918-X,Hostage,Karyn Whitehorne,"Larkin, Conn and Erdman",2010,78
164682668-X,Salvation Boulevard,Genovera Norheny,Mueller-Steuber,1992,20
644713324-7,Champion,Lucretia Bleacher,Kutch Inc,1978,29
952541980-0,Killing Us Softly 3,Nisse Ratchford,Adams-Weber,2006,33
649429330-1,Revolutionary Road,Westley Theseira,"Zboncak, Parisian and Bode",2006,22
178956481-6,Stranger by the Lake (L'inconnu du lac),Modestia Klaaasen,Schultz Inc,2000,48
405301039-X,"Hen, his wife",Corliss Delooze,"Bins, Becker and Ferry",1986,93
969257325-7,"Men Who Tread on the Tiger's Tail, The (Tora no o wo fumu otokotachi)",Chevy Swatradge,Walter-Graham,1998,9
369183807-3,"Looney, Looney, Looney Bugs Bunny Movie, The",Hildy Glanester,Dicki-Sipes,2006,17
965259868-2,Bandolero!,Carmen Bachelar,"Hudson, Beahan and Kozey",2004,81
093338465-3,Doctor X,Marcellina Toleman,Schiller Group,1997,59
027294893-4,Shark in Venice,Pierce Blamphin,McGlynn Group,2001,38
777858262-7,Here Comes Mr. Jordan,Archibaldo Ranyard,"Koelpin, Hahn and Ullrich",1986,77
265358273-2,Kind Lady,Kris Falck,"Mertz, Schmeler and Zieme",1999,40
377385565-6,Slumming,Devland Rippin,McDermott LLC,1994,43
866694378-5,Je suis né d'une cigogne,Monique Annatt,Von Group,1997,25
693321441-9,Latin Music USA,Kellina Traves,"Thiel, Schulist and Rau",2010,22
668343772-6,"Cry of the Owl, The",Alfonse De Few,Franecki LLC,2000,95
071940444-4,Portrait of Maria (María Candelaria (Xochimilco)),Tiebold Letterick,Rempel-Krajcik,2006,99
720257601-5,Mystery Train,Chico Sicily,"Gislason, Goyette and Upton",2012,77
561068108-1,Man of the World,Glenden McDonand,Schaden-Kub,1995,3
280826191-8,Fresh,Murry Beverley,"Willms, Block and Padberg",1987,35
442830902-3,Macario,Cynthea Spurden,Heller-Thompson,1995,84
115210141-2,Trespass,Ennis Staff,"Ankunding, Schumm and Nienow",2003,90
397418594-1,"Reckless Moment, The",Aeriela Raubenheim,"Pfeffer, Stanton and Feeney",2010,91
886174466-4,Any Given Sunday,Emylee Blakelock,Walker-Morar,2009,80
180176716-5,Marooned,Stafford Dicken,Sawayn-Towne,1997,32
234309128-5,Sherlock Holmes in Washington,Dian Lorie,Blick-Bergstrom,1994,1
713789233-7,Dodge City,Anthiathia Mansuer,Kozey-Stracke,1991,52
108810849-0,Back to the Future,Olwen Mablestone,"Torphy, Moore and Bechtelar",2011,86
127764051-3,House II: The Second Story,Cicely McCaw,"Donnelly, Anderson and Murazik",1999,4
080488178-2,Twentieth Century,Doro Dwire,"Hessel, Harris and Lockman",2008,9
091021334-8,Night Train To Lisbon,Dniren Arghent,"Konopelski, Lindgren and Prohaska",2011,87
492746322-2,Bless the Beasts & Children,Kennie Splevins,"Aufderhar, Runte and Beier",1985,98
426630583-4,"Battle of amfAR, The",Ardisj Scathard,Senger-Turcotte,2007,43
988214184-6,Åsa-Nisse - Wälkom to Knohult,Margot Lippi,"Schinner, Wiegand and Kihn",2001,28
119288753-0,"Stars Look Down, The",April Chown,Stiedemann Group,2000,57
718978728-3,Revenge of the Nerds IV: Nerds in Love,Carver Krzysztofiak,Hegmann-Upton,2009,29
985646065-4,Socialism (Film socialisme),Fran Clubley,"Rowe, Beier and Dickens",2000,73
745939633-8,G-Force,Rodge Nottram,Parker-Kiehn,1998,64
072560504-9,Battle of Los Angeles,Angie Rowles,Wuckert-Cartwright,1993,61
241836352-X,Mamma Roma,Chucho Rauprich,Moen LLC,2010,11
664445846-7,Hellraiser: Bloodline,Kaila Birrell,Bogan Group,2011,19
503298113-3,Nevada Smith,Jeremiah Blackney,"Steuber, Nikolaus and Hagenes",2005,73
